Date,Value
2021-12-31,4766.18
2021-09-30,4307.54
2021-06-30,4297.5
2021-03-31,3972.89
2020-12-31,3756.07
2020-09-30,3363.0
2020-06-30,3100.29
2020-03-31,2584.59
2019-12-31,3230.58
2019-09-30,2982.16
2019-06-30,2890.17
2019-03-31,2803.98
2018-12-31,2567.31
2018-09-30,2901.5
2018-06-30,2754.35
2018-03-31,2702.77
2017-12-31,2664.34
2017-09-30,2492.84
2017-06-30,2433.99
2017-03-31,2366.82
2016-12-31,2246.63
2016-09-30,2157.69
2016-06-30,2083.89
2016-03-31,2021.95
2015-12-31,2054.08
2015-09-30,1944.41
2015-06-30,2099.29
2015-03-31,2079.99
2014-12-31,2054.27
2014-09-30,1993.23
2014-06-30,1947.09
2014-03-31,1863.52
2013-12-31,1807.78
2013-09-30,1687.17
2013-06-30,1618.77
2013-03-31,1550.83
2012-12-31,1422.29
2012-09-30,1443.42
2012-06-30,1323.48
2012-03-31,1389.24
2011-12-31,1243.32
2011-09-30,1173.88
2011-06-30,1287.29
2011-03-31,1304.49
2010-12-31,1241.53
2010-09-30,1122.08
2010-06-30,1083.36
2010-03-31,1152.05
2009-12-31,1110.38
2009-09-30,1044.55
2009-06-30,926.12
2009-03-31,757.13
2008-12-31,877.56
2008-09-30,1216.95
2008-06-30,1341.25
2008-03-31,1316.94
2007-12-31,1479.22
2007-09-30,1497.12
2007-06-30,1514.19
2007-03-31,1406.95
2006-12-31,1416.42
2006-09-30,1317.74
2006-06-30,1253.17
2006-03-31,1293.74
2005-12-31,1262.07
2005-09-30,1225.92
2005-06-30,1202.25
2005-03-31,1194.9
2004-12-31,1199.21
2004-09-30,1117.66
2004-06-30,1132.76
2004-03-31,1123.98
2003-12-31,1080.64
2003-09-30,1019.44
2003-06-30,988.0
2003-03-31,846.63
2002-12-31,899.18
2002-09-30,867.81
2002-06-30,1014.02
2002-03-31,1153.79
2001-12-31,1144.93
2001-09-30,1044.64
2001-06-30,1238.71
2001-03-31,1185.85
2000-12-31,1330.93
2000-09-30,1468.05
2000-06-30,1461.96
2000-03-31,1442.21
1999-12-31,1428.68
1999-09-30,1318.17
1999-06-30,1322.55
1999-03-31,1281.66
1998-12-31,1190.05
1998-09-30,1020.64
1998-06-30,1108.39
1998-03-31,1076.83
1997-12-31,962.37
1997-09-30,937.02
1997-06-30,876.29
1997-03-31,792.16
1996-12-31,743.25
1996-09-30,674.88
1996-06-30,668.5
1996-03-31,647.07
1995-12-31,614.57
1995-09-30,578.77
1995-06-30,539.35
1995-03-31,493.15
1994-12-31,455.19
1994-09-30,466.96
1994-06-30,454.83
1994-03-31,463.81
1993-12-31,465.95
1993-09-30,459.24
1993-06-30,448.06
1993-03-31,450.16
1992-12-31,435.64
1992-09-30,418.48
1992-06-30,408.27
1992-03-31,407.36
1991-12-31,388.51
1991-09-30,387.2
1991-06-30,378.29
1991-03-31,372.28
1990-12-31,328.75
1990-09-30,315.41
1990-06-30,360.39
1990-03-31,338.46
1989-12-31,348.6
1989-09-30,347.3
1989-06-30,323.7
1989-03-31,292.7
1988-12-31,276.5
1988-09-30,268.0
1988-06-30,270.7
1988-03-31,265.7
1987-12-31,241.0
1987-09-30,318.7
1987-06-30,301.4
1987-03-31,292.5
1986-12-31,248.6
1986-09-30,238.3
1986-06-30,245.3
1986-03-31,232.3
1985-12-31,207.3
1985-09-30,184.1
1985-06-30,188.9
1985-03-31,179.4
1984-12-31,164.5
1984-09-30,166.1
1984-06-30,153.1
1984-03-31,157.4
1983-12-31,164.4
1983-09-30,167.2
1983-06-30,166.4
1983-03-31,151.9
1982-12-31,139.4
1982-09-30,122.4
1982-06-30,109.7
1982-03-31,110.8
1981-12-31,123.8
1981-09-30,118.3
1981-06-30,132.3
1981-03-31,133.2
1980-12-31,133.5
1980-09-30,126.5
1980-06-30,114.6
1980-03-31,104.7
1979-12-31,107.8
1979-09-30,108.6
1979-06-30,101.7
1979-03-31,100.1
1978-12-31,96.11
1978-09-30,103.9
1978-06-30,97.66
1978-03-31,88.82
1977-12-31,93.82
1977-09-30,96.23
1977-06-30,99.29
1977-03-31,100.6
1976-12-31,104.7
1976-09-30,105.5
1976-06-30,101.8
1976-03-31,101.1
1975-12-31,88.7
1975-09-30,84.67
1975-06-30,92.4
1975-03-31,83.78
1974-12-31,67.07
1974-09-30,68.12
1974-06-30,89.79
1974-03-31,97.44
1973-12-31,94.78
1973-09-30,105.6
1973-06-30,104.8
1973-03-31,112.4
1972-12-31,117.5
1972-09-30,109.4
1972-06-30,108.0
1972-03-31,107.7
1971-12-31,99.17
1971-09-30,99.4
1971-06-30,99.72
1971-03-31,99.6
1970-12-31,90.05
1970-09-30,82.58
1970-06-30,75.59
1970-03-31,88.65
1969-12-31,91.11
1969-09-30,94.51
1969-06-30,99.14
1969-03-31,99.3
1968-12-31,106.5
1968-09-30,101.3
1968-06-30,100.5
1968-03-31,89.09
