Date,Price,Open,High,Low,Vol.,Change %
Jan 22,"4,693.30","4,781.00","4,817.88","4,662.75",-,-1.53%
Oct 21,"4,605.38","4,324.71","4,608.70","4,278.70",-,6.91%
Jul 21,"4,395.26","4,304.10","4,430.20","4,232.80",-,2.27%
Apr 21,"4,181.17","3,992.78","4,218.78","3,992.78",-,5.24%
Jan 21,"3,714.24","3,764.61","3,870.90","3,662.71",-,-1.11%
Oct 20,"3,269.96","3,385.87","3,549.85","3,233.94",-,-2.77%
Jul 20,"3,271.12","3,105.92","3,279.99","3,101.17",-,5.51%
Apr 20,"2,912.43","2,498.08","2,954.86","2,447.49",-,12.68%
Jan 20,"3,225.52","3,244.67","3,337.77","3,214.64",-,-0.16%
Oct 19,"3,037.56","2,983.69","3,050.10","2,855.94",-,2.04%
Jul 19,"2,980.38","2,971.41","3,027.98","2,952.22",-,1.31%
Apr 19,"2,945.83","2,848.63","2,949.52","2,848.63",-,3.93%
Jan 19,"2,704.10","2,476.96","2,708.95","2,443.96",-,7.87%
Oct 18,"2,711.74","2,926.29","2,939.86","2,603.54",-,-6.94%
Jul 18,"2,816.29","2,704.95","2,848.03","2,698.95",-,3.60%
Apr 18,"2,648.05","2,633.45","2,717.49","2,553.80",-,0.27%
Jan 18,"2,823.81","2,683.73","2,872.87","2,682.36",-,5.62%
Oct 17,"2,575.26","2,521.20","2,582.98","2,520.40",-,2.22%
Jul 17,"2,470.30","2,431.39","2,484.04","2,407.70",-,1.93%
Apr 17,"2,384.20","2,362.34","2,398.16","2,328.95",-,0.91%
Jan 17,"2,278.87","2,251.57","2,300.99","2,245.13",-,1.79%
Oct 16,"2,126.15","2,164.33","2,169.60","2,114.72",-,-1.94%
Jul 16,"2,173.60","2,099.34","2,177.09","2,074.02",-,3.56%
Apr 16,"2,065.30","2,056.62","2,111.05","2,033.80",-,0.27%
Jan 16,"1,940.24","2,038.20","2,038.20","1,812.29",-,-5.07%
Oct 15,"2,079.36","1,919.65","2,094.32","1,893.70",-,8.30%
Jul 15,"2,103.84","2,067.00","2,132.82","2,044.02",-,1.97%
Apr 15,"2,085.51","2,067.63","2,125.92","2,048.38",-,0.85%
Jan 15,"1,994.99","2,058.90","2,072.36","1,988.12",-,-3.10%
Oct 14,"2,018.05","1,971.44","2,018.19","1,820.66",-,2.32%
Jul 14,"1,930.67","1,962.29","1,991.39","1,930.67",-,-1.51%
Apr 14,"1,883.95","1,873.96","1,897.28","1,814.36",-,0.62%
